timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-05-29T18:45:52-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,27.54%,53.34MiB / 160MiB,33.34%,1.68MB / 657kB,111kB / 0B,13
2026-05-29T18:45:52-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.60%,72.94MiB / 160MiB,45.59%,1.69MB / 667kB,868kB / 0B,56
2026-05-29T18:45:52-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.51%,13.34MiB / 30MiB,44.45%,4.75MB / 5.07MB,0B / 12.3kB,15
2026-05-29T18:45:56-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,39.90%,53.8MiB / 160MiB,33.63%,1.71MB / 668kB,111kB / 0B,13
2026-05-29T18:45:56-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.80%,70.06MiB / 160MiB,43.79%,1.72MB / 676kB,868kB / 0B,59
2026-05-29T18:45:56-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.51%,13.41MiB / 30MiB,44.70%,4.8MB / 5.12MB,0B / 12.3kB,15
2026-05-29T18:46:00-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,10.03%,53.37MiB / 160MiB,33.36%,1.73MB / 675kB,111kB / 0B,13
2026-05-29T18:46:00-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,44.63%,73.31MiB / 160MiB,45.82%,1.74MB / 683kB,868kB / 0B,64
2026-05-29T18:46:00-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.22%,13.23MiB / 30MiB,44.10%,4.87MB / 5.2MB,0B / 12.3kB,15
2026-05-29T18:46:04-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,32.75%,52.71MiB / 160MiB,32.94%,1.75MB / 683kB,111kB / 0B,13
2026-05-29T18:46:04-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.75%,66.53MiB / 160MiB,41.58%,1.76MB / 694kB,868kB / 0B,63
2026-05-29T18:46:04-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.53%,13.72MiB / 30MiB,45.74%,4.95MB / 5.28MB,0B / 12.3kB,15
2026-05-29T18:46:09-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,35.89%,51.88MiB / 160MiB,32.42%,1.77MB / 693kB,111kB / 0B,13
2026-05-29T18:46:09-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.78%,67.71MiB / 160MiB,42.32%,1.77MB / 698kB,868kB / 0B,69
2026-05-29T18:46:09-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.57%,13.48MiB / 30MiB,44.92%,5MB / 5.34MB,0B / 12.3kB,15
2026-05-29T18:46:13-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,21.14%,51.98MiB / 160MiB,32.49%,1.79MB / 699kB,111kB / 0B,13
2026-05-29T18:46:13-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.11%,62.93MiB / 160MiB,39.33%,1.8MB / 710kB,868kB / 0B,63
2026-05-29T18:46:13-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.40%,13.21MiB / 30MiB,44.05%,5.06MB / 5.4MB,0B / 12.3kB,15
2026-05-29T18:46:17-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,26.45%,51.95MiB / 160MiB,32.47%,1.81MB / 706kB,111kB / 0B,13
2026-05-29T18:46:17-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,44.24%,63.13MiB / 160MiB,39.46%,1.82MB / 719kB,868kB / 0B,63
2026-05-29T18:46:17-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.65%,13.48MiB / 30MiB,44.92%,5.12MB / 5.47MB,0B / 12.3kB,15
2026-05-29T18:46:21-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,37.29%,52.32MiB / 160MiB,32.70%,1.83MB / 715kB,111kB / 0B,13
2026-05-29T18:46:21-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,40.85%,65.5MiB / 160MiB,40.94%,1.84MB / 726kB,868kB / 0B,69
2026-05-29T18:46:21-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.64%,13.22MiB / 30MiB,44.06%,5.17MB / 5.52MB,0B / 12.3kB,15
2026-05-29T18:46:25-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,40.20%,51.72MiB / 160MiB,32.32%,1.86MB / 726kB,111kB / 0B,16
2026-05-29T18:46:25-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.35%,63.58MiB / 160MiB,39.74%,1.87MB / 737kB,868kB / 0B,64
2026-05-29T18:46:25-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.52%,13.25MiB / 30MiB,44.15%,5.23MB / 5.58MB,0B / 12.3kB,15
2026-05-29T18:46:30-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,13.35%,51.52MiB / 160MiB,32.20%,1.87MB / 731kB,111kB / 0B,16
